C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
741.0,185.0,815.0,259.0,185.0,9.0,156.0,0.2,30,1,1,1,13.0,0.2,1,90,165.0
850.0,212.5,935.0,255.0,212.5,21.2,25.5,0.2,23,1,1,3,15.0,0.6,1,28,165.0
1116.7,390.85,625.35,0.0,212.17,23.45,44.668,0.14,23,1,1,6,13.0,0.2,1,21,165.0
960.0,240.0,764.7,0.0,234.0,45.0,78.0,0.2,23,1,1,1,13.0,0.2,1,56,164.9
960.0,240.0,771.9,0.0,234.0,45.0,58.5,0.2,23,1,1,1,13.0,0.2,1,56,164.7
863.0,216.0,1079.0,0.0,194.22,43.16,17.26,0.18,23,1,1,6,13.0,0.2,1,28,164.6
1076.77,286.23,1090.8,0.0,272.6,46.2,0.0,0.2,23,1,1,0,0.0,0.0,1,28,164.6
998.8,176.25,998.0,0.0,164.5,49.4,4.994,0.14,23,1,1,5,13.0,0.018,1,28,164.5
998.8,176.25,954.5,0.0,141.0,81.7,14.982,0.12,23,1,1,5,13.0,0.018,1,14,164.3
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,8.0,0.2,1,28,164.2
936.0,140.4,1170.0,0.0,224.64,28.08,18.72,0.21,23,1,1,6,13.0,0.2,1,28,163.8
1116.7,390.85,625.35,0.0,212.17,23.45,22.334,0.14,23,1,1,6,13.0,0.2,1,28,163.8
922.0,230.0,1152.0,0.0,184.0,11.52,4.61,0.16,23,1,1,4,12.0,0.018,1,28,163.7
922.0,230.0,1152.0,0.0,184.0,11.52,16.135,0.16,23,1,1,4,12.0,0.018,1,28,163.4
960.0,240.0,779.2,0.0,234.0,45.0,39.0,0.2,23,1,1,1,13.0,0.2,1,56,163.3
800.0,200.0,880.0,200.0,200.0,9.6,0.0,0.2,20,1,1,0,0.0,0.0,1,90,163.3
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,12.0,0.2,1,14,163.2
960.0,240.0,787.1,0.0,234.0,45.0,19.5,0.2,23,1,1,1,13.0,0.2,1,56,163.1
1009.0,0.0,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,163.1
